Individual,Class,Amount,Unit
GreenOnionsVitaminC,SubstancePortion,18.8,mg/100g
CeleryCalcium,SubstancePortion,40,mg/100g
CeleryCarbohydrate,SubstancePortion,2.97,g/100g
CeleryFat,SubstancePortion,0.17,g/100g
CeleryFoodEnergy,SubstancePortion,14,cal/100g
CeleryIron,SubstancePortion,0.2,mg/100g
CeleryPotassium,SubstancePortion,260,mg/100g
CeleryProtein,SubstancePortion,0.69,g/100g
CelerySodium,SubstancePortion,80,mg/100g
CeleryVitaminA,SubstancePortion,0.022,mg/100g
CeleryVitaminC,SubstancePortion,3.1,mg/100g
ShallotsCalcium,SubstancePortion,37,mg/100g
ShallotsCarbohydrate,SubstancePortion,16.8,g/100g
ShallotsFat,SubstancePortion,0.1,g/100g
ShallotsFoodEnergy,SubstancePortion,72,cal/100g
ShallotsIron,SubstancePortion,1.2,mg/100g
ShallotsPotassium,SubstancePortion,334,mg/100g
ShallotsProtein,SubstancePortion,2.5,g/100g
ShallotsSodium,SubstancePortion,12,mg/100g
ShallotsVitaminA,SubstancePortion,0.06,mg/100g
ShallotsVitaminC,SubstancePortion,8,mg/100g
GarlicCalcium,SubstancePortion,181,mg/100g
GarlicCarbohydrate,SubstancePortion,33.06,g/100g
GarlicFat,SubstancePortion,0.5,g/100g
GarlicFoodEnergy,SubstancePortion,149,cal/100g
GarlicIron,SubstancePortion,1.7,mg/100g
GarlicPotassium,SubstancePortion,401,mg/100g
GarlicProtein,SubstancePortion,6.36,g/100g
GarlicSodium,SubstancePortion,17,mg/100g
GarlicVitaminC,SubstancePortion,31,mg/100g
TomatoCalcium,SubstancePortion,10,mg/100g
TomatoCarbohydrate,SubstancePortion,3.9,g/100g
TomatoFat,SubstancePortion,0.2,g/100g
TomatoFoodEnergy,SubstancePortion,18,cal/100g
TomatoIron,SubstancePortion,0.5,mg/100g
TomatoPotassium,SubstancePortion,237,mg/100g
TomatoProtein,SubstancePortion,0.9,g/100g
TomatoSodium,SubstancePortion,5,mg/100g
TomatoVitaminA,SubstancePortion,0.833,mg/100g
TomatoVitaminC,SubstancePortion,13.7,mg/100g
CherryTomatoCalcium,SubstancePortion,14.9,mg/100g
